0001_030	यह है मोटा राजा
1220_026	वह तो किसी भी दुकान से खरीदा जा सकता है
1221_029	हाँ मुझे मालूम है बिन्दा हँसा पर महात्मा जी की एक योजना है
1222_020	यह तो तुम्हें पता ही है कि वह किसी बात के विरोध में ही यात्रा करते हैं या जुलूस निकालते हैं है न
1224_057	जिससे कि उनके खिलाफ़ लड़ सकें और भारत स्वतंत्र हो जाये
1225_006	पर नमक को लेकर विरोध क्यों कर रहे हैं
1226_077	यह तो बेवकूफ़ी की बात हुई
1227_013	बिल्कुल बेवकूफ़ी नहीं है धनी
1229_032	तो क्या धनी बुदबुदाया
1230_026	नमक की ज़रूरत सभी को है
1231_046	इसका मतलब है कि हर भारतवासी गरीब से गरीब भी यह कर देता है
1232_026	बिन्दा चाचा ने आगे समझाया
1233_018	लेकिन यह तो सरासर नाइंसाफ़ी है
1234_026	धनी की आँखों में गुस्सा था
1235_046	हाँ यह नाइंसाफ़ी है
1236_092	यही नहीं भारतीय लोगों को नमक बनाने की मनाही है
1239_038	समुद्र के पानी से नमक बनायेंगे
1240_042	एक महीने तक पैदल चलेंगे
1242_076	गाँधी जी तो थक जायेंगे वे दाँडी बस या ट्रेन से क्यों नहीं जा सकते
1246_057	और ब्रिटिश सरकार के लिये यह बड़ी शर्म की बात होगी
1248_046	हाँ वो तो हैं ही
1250_032	उन्होंने वायसरॉय को चिट्ठी भी लिखी है कि वे ऐसा करने जा रहे हैं ब्
1251_033	रिटिश सरकार को तो पता ही नहीं कि उसकी क्या गत बनने वाली है
1252_060	धनी उस झोंपड़ी के पास पहुँचा जहाँ गाँधी जी ठहरे थे
1253_034	उसने खिड़की से झाँक कर देखा
1254_034	आश्रम के कई लोग गाँधी जी से बात कर रहे थे
1255_029	धनी को सुनाई दिया कि वे दाँडी पहुँचने का रास्ता तय कर रहे थे जिस पर वे पैदल चलेंगे
1256_013	अपने पिता को भी इनके बीच देखकर धनी खुश हो गया
1258_046	वह बैठ कर चरखा चला रहे थे
1259_097	पिता जी क्या आप और अम्मा दाँडी यात्रा पर जा रहे हैं
1260_034	धनी ने सीधे काम की बात पूछी
1261_005	मैं जा रहा हूँ तुम और अम्मा यहीं रहोगे
1262_076	मैं आपके साथ आ रहा हूँ
1263_018	बेकार की बात मत करो धनी
1264_038	तुम इतना लम्बा नहीं चल पाओगे
1265_065	आश्रम के नौजवान ही जा रहे हैं
1266_077	मैं नौ साल का हूँ और आपसे तेज़ दौड़ सकता हूँ
1267_092	धनी ने हठ पकड़ ली आप मुझे साथ आने से रोक नहीं सकते
1269_035	स़िर्फ वे लोग जायेंगे जिन्हें महात्मा जी ने खुद चुना है
1272_093	गाँधी जी बड़े व्यस्त रहते थे
1273_027	उन्हें अकेले पकड़ पाना आसान नहीं था
1274_029	पर धनी को वह समय मालूम था जब उन्हें बात सुनने का समय होगारोज़ सुबह
1275_097	वह आश्रम में पैदल घूमते थे
1277_065	वे गौशाला में गायों को देख रहे थे
1278_009	फिर वह सब्ज़ी के बगीचे में मटर और
1279_005	बन्दगोभी देखते हुए बिन्दा से बात करने लगे
1280_078	धनी और बिन्नी लगातार उनके पीछेपीछे चल रहे थे
1283_003	यहाँ आओ बेटा धनी दौड़कर उनके पास पहुँचा
1284_029	बिन्नी भी साथ में कूदती हुई आई तुम्हारा क्या नाम है बेटा
1285_035	धनी गाँधी जी और यह तुम्हारी बकरी है
1286_046	जी हाँ गाँधी जी
1287_002	मेरी दोस्त बिन्नी जिसका दूध आप रोज़ सुबह पीते हैं
1289_097	बहुत अच्छा गाँधी जी ने हाथ हिलाकर कहा
1290_044	अब यह बताओ धनी कि तुम और
1291_002	बिन्नी सुबह से मेरे पीछे क्यों घूम रहे हो
1292_036	मैं आपसे कुछ पूछना चाहता था धनी थोड़ा घबराया
1293_088	क्या मैं आपके साथ दाँडी आ सकता हूँ हिम्मत करके उसने कह डाला
1295_009	स़िर्फ तुम्हारे पिता जैसे नौजवान ही मेरे साथ चल पायेंगे
1296_032	पर आप तो नौजवान नहीं हैं धनी बोला
1297_036	आप नहीं थक जायेंगे मैं बहुत अच्छे से चलता हूँ गाँधी जी ने कहा
1298_026	मैं भी बहुत अच्छे से चलता हूँ धनी भी अड़ गया
1300_006	अगर तुम मेरे साथ जाओगे तो बिन्नी को कौन देखेगा
1301_033	इतना चलने के बाद मैं तो कमज़ोर हो जाऊँगा
1303_092	जिससे कि मेरी ताकत लौट आये
1304_067	हूँ यह बात तो ठीक है गाँधी जी
1306_029	धनी ने प्यार से बिन्नी का सर सहलाया और स़िर्फ मैं जानता हूँ कि इसे क्या पसन्द है
1308_013	गाँधी जी प्यार से बोले जी गाँधी जी करूँगा धनी बोला
1309_033	और बिन्नी और मैं आपका इन्तज़ार करेंगे
1310_042	इतिहास के कुछ रोचक तथ्य
1312_024	विरोध में दाँडी तक की यात्रा का नेतृत्व किया
1314_098	पूरे रास्ते उनका स्वागत फूलों और गीतों से हुआ
1316_033	दाँडी में गाँधी जी और
1317_088	उनके साथियों ने समुद्र तट से नमक उठाया और उन्हें गिरफ़्तार कर लिया गया
1319_092	कॉलेज व दफ़्तरों का बायकॉट किया
1327_089	नाना आराम कुर्सी पर पड़ेपड़े अखबार पढ़ते हुए खुश दिखाई देंगे लेकिन मेरे दादाजी
1328_034	वे बिल्कुल ऐसे नहीं हैं
1330_013	मनोरंजक घटनाओं से भरपूर यह कहानी पढ़िए और
1331_060	जानिए कि अंत में वृक्षों का क्या हुआ
1332_047	सोमवार की सुहानी सुबह थी
1334_070	यह बहुत शान्त जगह थी
1335_038	मैं आगे बगीचे में अपनी साईकिल साफ़ कर रहा था
1336_047	मेरा कुत्ता टाइगर घास पर सो रहा था
1337_024	एक अजीब सी आवाज़ सुन कर
1340_088	पेड़ पर पेड़ों को बचाओ का बोर्ड लटक रहा था
1341_076	मैं चिल्लाता हुआ उन्हें रोकने के लिए दौड़ा
1342_092	मैंने उनके पीछे चढ़ने की कोशिश की
1343_078	लेकिन तब तक बहुत देर हो चुकी थी
1344_072	मेरे दादाजी चिल्लाए सत्या वहीं रुको
1345_060	दादाजी बहुत ज़िद्दी हैं
1346_006	उनके दिमाग में जो आ जाता है वह बस उसे कर ही डालते हैं
1347_034	दादाजी सीढ़ी के आखिरी छोर पर रुके
1348_003	मैं डरा यदि वे गिर गए तो खैर दादाजी पेड़ की शाखा पकड़े हुए थे
1349_005	वे बूढ़े और कमज़ोर थे लेकिन उनकी इच्छा शक्ति मज़बूत थी
1350_018	वे उतने कमज़ोर भी नहीं थे जितने दिखते थे
1352_034	वह मुझ पर चिल्लाए दूर हटो सत्या
1354_079	वह ज़ोरदार आवाज़ के साथ घास पर गिर गई
1355_034	टाइगर घिघिया कर अन्दर भाग खड़ा हुआ
1356_077	गनीमत है मैं कूद कर एक तरफ़ को हो गया था नहीं तो
1357_016	अब सन्नाटा था और उस में दादाजी की ज़ोर से साँस लेने की आवाज़ें
1358_002	यह नगर निगम को उनका जवाब था
1359_027	निगम ने वहाँ मकान बनाने के लिए ठेकेदार को पेड़
1362_003	एक सप्ताह पहले वह बेचारा हमारे घर अपना काम करने आया
1364_080	लेकिन दादाजी भड़क गए
1366_047	पेड़ हमें छाया देते हैं
1367_072	ठण्डी हवा प्रकृति का उपहार है
1369_060	उसका तेल कई महत्वपूर्ण चीज़ों में इस्तेमाल होता है
1371_028	यदि हम और पेड़ नहीं उगा सकते तो हमें उन्हें नष्ट भी नहीं करना चाहिए
1373_009	मैं किसी को भी पेड़ को छूने भी नहीं दूँगा
1377_037	वे शाखाओं के बीच में बैठ गए
1378_064	मैं चिल्लाचिल्लाकर उनसे नीचे आने के लिए कहने लगा
1379_019	उन्होंने उत्तर नहीं दिया वे अपनी ही दुनिया में थे
1380_032	मैंने कहा मैं आपके लिए एक कप कॉफ़ी बनाता हूँ
1381_002	उन्हें कॉफ़ी बहुत पसन्द थी लेकिन उन्होंने उत्तर नहीं दिया
1382_047	मैंने कहा आपके स्कूल के ज़माने की पिक्चर टीवी पर आ रही है देख लीजिये
1383_001	दादाजी ने जवाब नहीं दिया
1384_047	धूप में मेरी आँखें चौंधियाने लगीं
1385_073	मैं पसीनापसीना हो गया
1386_092	मुझे घबराहट होने लगी
1387_039	दादाजी को पेड़ों की रक्षा क्यों करनी चाहिए
1388_032	वे बाहर घूमफिर क्यों नहीं आते
1389_029	जब भी दादाजी आगे बढ़ते मेरा दिल ज़ोर से धड़कने लगता
1390_013	इस अजीब स्थिति से मुझे खुद ही निबटना था
1391_038	बात यह थी कि मेरी दादी और
1393_033	मेरी छोटी बहन दिव्या एक शिविर के लिए गयी हुई थी
1394_078	केवल मेरा कुत्ता टाइगर और मैं दादाजी के पास थे
1395_076	मैं चाहता था कि दादाजी नीचे उतर आएँ
1396_035	आखिर वे रात पेड़ पर नहीं बिता सकते थे न
1397_035	लेकिन वह मेरी बात सुन ही नहीं रहे थे
1398_016	मैं थक चुका था
1399_005	मैंने एक बार फिर कहा
1402_076	झंझट बढ़ने से पहले नीचे उतर आइए
1404_077	फिर दादाजी ने नीचे झाँका
1405_018	वह काफ़ी खुश दिख रहे थे
1408_024	मैं सचमुच कह रहा हूँ दादा सरासर झूठ बोल रहे थे
1409_060	हवा का दूरदूर तक अतापता नहीं था
1410_032	दो हफ्ते से बला की गर्मी पड़ रही थी
1411_072	मैं पेड़ के चारों तरफ़ घूमा
1412_064	मुझे घबराहट और चिंता से गुस्सा आने लगा
1413_005	स्थिति काबू से बाहर हो रही थी
1414_035	मैं चाहता था कि स्थिति सामान्य हो जाए
1415_034	दादाजी मज़े से डाल पर जमे थे
1416_037	घास पर पड़ी सीढ़ी को देख कर मेरे मन में आया कि
1418_027	मैं इतना मज़बूत तो हूँ ही
1421_077	दादाजी प्लीज़ उतर आइये न मैंने कहा
1426_078	अगर आप पेड़ पर रुके रहे तो बहुत पछताएँगे
1427_080	मैंने चेतावनी दी लेकिन मेरी आवाज़ में ज़ोर नहीं था
1429_032	ज़िन्दगी भी एक बड़ा सिरदर्द है
1430_092	मैं सड़क की ओर देखने लगा
1432_086	मैंने एक बार फिर दादाजी को समझाने की कोशिश की
1433_051	आप वहाँ नहीं रुक सकते पेड़ जल्दी ही नीचे आ जाएगा
1434_066	दादाजी मुस्कराए यह पेड़ मेरी लाश पर ही गिरेगा जो होनेवाला नहीं है
1435_024	दादाजी आसानी से मानने वाले नहीं थे
1436_006	तभी पुलिस आ गई
1437_047	जीप पेड़ की जड़ पर आकर रुकी
1438_005	उसमें से दो पुलिसवाले उतरे एक पतला और
1439_033	लम्बा था दूसरे की कदकाठी बहुत मज़बूत थी
1440_046	दोनों के ही चेहरे कठोर लग रहे थे
1441_032	लम्बे पुलिसवाले ने घूर कर मुझे देखा
1442_060	वह मेरी तरफ़ बढ़ा कि अचानक चारों खाने चित्त हो गया
1443_064	वह घास पर पड़ी सीढ़ी से टकरा गया था
1444_046	मैंने अनदेखा कर दिया पुलिसवाला खड़ा हो गया
1445_043	वह अब ज़्यादा डरावना लग रहा था
1446_027	उसके मुँह का आकार बदल गया था
1447_047	यहाँ क्या हो रहा है उसने पूछा
1449_032	गनीमत है वे उससे कुछ दूरी पर गिरीं
1450_095	उसने तेज़ी से ऊपर देखा और
1453_032	उन्होंने कहा नमस्ते साहब
1454_002	जैसा कि आप देख रहे हैं मैं इस पेड़ पर बैठा हूँ
1456_033	दादाजी फिर मुस्कराए क्यों इसके खिलाफ़ कोई कानून है
1457_018	भारीभरकम पुलिसवाले ने आगे बढ़कर कहा
1459_024	कृपया अब नीचे आ जाइये
1460_002	दादाजी ने सिर हिलाया मुझे खेद है पर मैं नीचे नहीं आ सकता
1461_079	मैं यहाँ ऊपर विरोध करने के लिए बैठा हूँ
1462_092	दोनों ने एक दूसरे की तरफ़ देखा
1465_064	दादाजी ने उन्हें विस्तार से पेड़ काटने के बारे में बताया
1467_060	वह हत्या नहीं करने देंगे
1468_066	यदि पेड़ कट जाएँगे तो यहाँ की सुन्दरता खत्म हो जाएगी
1469_077	पेड़ उनके लिए पवित्र हैं
1470_080	यदि वे पेड़ काटना चाहते हैं तो पहले उन्हें काटना होगा
1471_064	पुलिसवालों के लिए यह एक अद्भुत मामला था
1472_072	उन्होंने इससे पहले ऐसा मामला कभी नहीं देखा था
1473_051	उन्होंने नाराज़गी से एक दूसरे की तरफ़ देखा फिर त्योरी चढ़ाकर मुझे देखा
1474_092	दादाजी जल्दी से बोले
1475_036	देखो साहब मेरे पोते सत्या का इससे कोई लेना देना नहीं है उसको इसमें मत लपेटो
1477_098	पुलिसवालों के हाँ कहने पर दादाजी बोले तब मुझे विरोध करने दो
1480_079	यहाँ तक कि मेरे कुत्ते का नाम भी पूछा
1481_035	वे फिर गम्भीरता से सोचने लगे
1483_002	हम शान्ति से अन्दर बैठकर समस्या का हल ढूँढ़े गे नहीं धन्यवाद
1484_046	मैं यहीं पर ठीक हूँ और
1485_006	तब तक यहीं बैठा रहूँगा जब तक कौंसिल मुझे पेड़ों को छोड़ने का वायदा नहीं करेगी
1486_005	मैं शान्ति से इंतज़ार कर रहा था
1487_006	दोनों पुलिसवाले बात करने के लिए दूर चले गए
1489_064	दादाजी बुरी तरह बौखला उठे चले जाओ मुझे अकेला छोड़ दो वे चिल्लाए
1490_064	आप नीचे आ जाइये हम आपको पेड़ के ऊपर नहीं छोड़ सकते
1491_005	नहीं मैं नीचे नहीं आऊँगा दादाजी बोले
1492_072	तुमको आना होगा मोटे पुलिसवाले ने कहा
1493_062	मैं नहीं आऊँगा आपको आना होगा लम्बे पुलिसवाले ने कहा
1494_033	नहीं आऊँगा दादाजी क्रोधित थे
1495_063	उनका चेहरा लाल हो गया मैं तेज़ी से आगे बढ़ा
1497_038	देखो बच्चे तुम इस पचड़े से दूर रहो
1498_001	कहतेकहते वह पेड़ पर खड़े हो गए
1499_026	उन्होंने पुलिसवालों से निवेदन किया कि वे चले जाएँ
1500_034	शान्ति और दृढ़ता से उन्होंने उनको चेतावनी दी यदि पुलिसवाले नहीं गए तो
1502_097	बहुत अधिक परेशान होकर अगर वे पेड़ से गिर गए तो कितना झंझट होगा
1503_089	पुलिसवाले समझ गए कि दाल नहीं गलेगी वे हड़बड़ी में चले गए
1504_001	मैं तब तक इंतज़ार करता रहा जब तक कि जीप सड़क के छोर पर मुड़ न गई
1505_032	पुलिस के जाते ही एक वैन में अखबारवाले आ गए दो संवाददाता और
1506_001	एक कम उम्र की फ़ोटोग्राफ़र
1507_032	अब तक सूर्य की रोशनी मद्धिम हो चुकी थी लेकिन हवा अभी भी गर्म थी
1509_002	वह ऊपर क्यों गया
1510_019	वह कब ऊपर गया
1511_046	वह ऊपर कैसे गया
1512_057	मैंने उन्हें बताया कि वह मेरे दादाजी हैं
1513_064	उनकी लड़ाई नगर निगम से है जिन्होंने यहाँ पर
1514_027	मकान बनाने के लिए पेड़ काटने की इजाज़त दी है
1515_092	दिन की रोशनी धुँधला चली थी
1516_032	लेकिन वह लड़की को फ़ोटो खींचने से रोक नहीं पाई
1517_051	उसने इधरउधर से फ़ोटो खींचे
1518_080	एक फ़ोटो साइनबोर्ड का भी खींचा
1519_016	घूमते हुए उसको भी सीढ़ी की ठोकर लगी
1521_078	एक संवाददाता सीढ़ी को खड़ा करने लगा
1522_060	शायद वह ऊपर चढ़ना चाहता था
1524_073	संवाददाता ने सीढ़ी घास पर डाल दी
1525_077	मैंने संवाददाताओं से कहा अब आप यहाँ से चले जाएँ
1526_092	मेरे दादाजी को गुस्सा आ रहा है
1527_027	जब वे गुस्सा होते हैं तो कुछ भी हो सकता है
1528_006	उनमें से एक ने जल्दी से अपनी नोट बुक में मेरी कही बातें लिखीं और
1529_001	झटपट गाड़ी में बैठ कर ऱफूचक्कर हो गए
1530_034	मैं मन ही मन मना रहा था कि अब और हंगामा न हो
1531_098	हमारा मकान गली के छोर पर था जहाँ हमें टकटकी लगा कर देखने को कोई नहीं था
1533_093	वे बोले सत्या मुझे बहुत भूख लगी है
1534_006	जाओ एक पेन्सिल और कागज़ ले आओ
1535_024	मैंने आँखें फाड़ कर उन्हें देखा क्या आप पेन्सिल और कागज़ खाएँगे
1536_036	दादाजी चिल्लाए जल्दी करो जैसा मैंने कहा वैसा करो
1537_078	अँधेरा होने जा रहा है मैं घर के अन्दर दौड़ा
1538_001	मैंने एक पेन्सिल और कागज़ लिया
1539_024	जब तक मैं लौटा तब तक सड़क की बत्ती जल चुकी थी
1540_046	अब ध्यान से सुनो जो मैं कह रहा हूँ वह लिखो
1541_077	मुझे यह सब चीज़ें चाहिएँ
1543_026	वहाँ आप को क्या चाहिए
1544_024	मैं फिर गलती पर था
1545_057	उन्होंने मुझे ज़रूरत की चीज़ों की एक लम्बी सूची दी
1546_035	एक टॉर्च एक किताब एक अखबार एक कम्बल
1547_033	एक तकिया एक पेन और नोटबुक एक जग गर्म काफ़ी
1548_046	दो डबलरोटी के टुकड़े बिस्कुट एक मूँगफली का पैकेट
1550_001	टाइगर अपनी तरह से मुझे मदद दे रहा था
1553_026	मैंने कोट के हैंगर व तार का इस्तेमाल करके एक चरखी बनाई
1554_028	मैंने सारा समान एक प्लास्टिक की बाल्टी में रखा और उनसे कहा कि बाल्टी खींचो
1555_002	वह ऊपर आसानी से चली गई
1556_080	दादाजी ने मेरी बुद्धिमानी की प्रशंसा की
1557_013	मैं अपने दोस्तों के बारे में सोच रहा था
1558_024	वे कितने मज़े से शाम बिता रहे होंगे
1559_063	वे कितने भाग्यशाली हैं
1562_073	फिर उन्होंने आराम से बिस्कुट का पैकेट खोला
1563_001	सड़क की रोशनी से नारंगी सी चमक आ रही थी
1565_065	काला आकाश गर्म हवा और हरी घास पर टहलता मैं
1566_016	पाँच मिनट चहलकदमी करने के बाद मैं पेड़ की ओर लौटा
1567_005	तुम्हें भी लग रहा होगा कि मैं पागल हो गया हूँ
1569_002	मैंने कहा आप पागल नहीं हैं आप बस बहुत ज़िद्दी हैं
1570_060	दादाजी के पास अपनी ज़रूरत की चीजें थी हीं
1572_046	मैं काफ़ी थक गया था इसलिए घर की तरफ़ चला गया
1573_092	एक बहुत लम्बा और गर्म दिन ख़त्म होने को था
1574_076	सत्या ठीक से सोना दादाजी की आवाज़ आई
1576_026	शहर की घड़ी में दस का घण्टा बजा
1577_026	जैसे ही मैं सोने की कोशिश करता मुझे दादाजी का बिस्कुट चबाना और
1579_070	उन्होंने रात पेड़ पर शान्ति से बिताई
1580_033	अगली सुबह मैं जल्दी जाग गया
1581_002	मेरी ममेरी बहिनें प्रिया और राम्या थरमस भर गर्म कॉफ़ी लेकर आ गईं
1582_016	हम चारों ने मज़े से कॉफ़ी पी
1583_065	तभी अखबारवाला अखबार डाल गया
1585_046	वरिष्ठ नागरिक द्वारा पेड़ों के कटान के विरूद्ध सत्याग्रह
1586_078	खबर में यह भी समझाया गया था कि वृक्षों के
1587_016	अविवेकपूर्ण कटान से किस तरह शहर की सुन्दरता पर प्रभाव पड़ेगा
1588_064	पेड़ की बोर्ड के साथ फ़ोटो भी छपी थी
1589_024	यह ज़रूर उस नये पत्रकार का काम रहा होगा जो कल हमसे मिलने आया था
1590_024	मैंने बहुत उत्साह से खबर दादाजी को सुनाई
1591_076	खबर शायद श्री मोहन तक भी पहुँच गई थी
1592_002	वह शहर के जानेपहचाने लोकप्रिय संगठन वृक्ष बचाओ आंदोलन के समन्वयक थे
1593_019	वे अपने स्कूटर पर आए और दादाजी से बोले
1594_079	महोदय आपकी लड़ाई में हम आपके साथ हैं
1595_001	हमें प्राकृतिक संसाधनों का संरक्षण करना ही होगा
1596_005	हमारे संगठन के लोग आपका साथ देने आ रहे हैं
1598_076	हमने खाना शुरू किया ही था कि दादाजी के मित्र आनन्द साहब भी आ गए
1599_029	उन्होंने दादाजी के पेड़ पर रहने के बारे में सुना था
1601_001	क्यों पिकनिक के मज़े आ रहे हैं
1602_033	कहतेकहते आनन्द साहब आगे बढ़े
1603_078	इससे पहले कि मैं उन्हें चेतावनी दे पाता वे सीढ़ी से उलझकर गिर गए
1604_033	उन्होंने खीसें निपोरीं और बोले
1606_005	दादाजी ने ठहाका लगाया
1607_013	जब तुम्हें नीचे देखना चाहिए था तब तुम ऊपर देख रहे थे आनन्द
1608_034	आनन्द साहब ने खुशी से सिर हिलाया
1610_006	पूछा मैं इस मामले में तुम्हारी क्या सहायता कर सकता हूँ दादाजी ने कहा
1611_026	जब तक कौंसिल पेड़ों की जान छोड़ने का वायदा नहीं कर देती तब तक मैं नीचे नहीं आ रहा हूँ
1612_065	इसलिए मेरे लिए योजनाएँ बनाने में अपना समय व्यर्थ न करो
1613_076	आनन्द साहब दादाजी के हर शब्द से सहमत थे
1614_008	थोड़ी देर दोनों दोस्त बातें करते रहेआनन्द साहब ज़मीन पर खड़े ऊपर को ताकते और
1615_037	दादाजी पेड़ पर डटे नीचे को
1616_064	फिर आनन्द साहब मुझसे बोले तुम अपने दादाजी की देखभाल बहुत बढ़िया ढंग से कर रहे हो
1617_001	मैंने खुश होकर सिर हिलाया उनसे असहमत होने का सवाल ही नहीं था
1618_027	फिर वह बोले दादाजी को इस समय मित्रों की ज़रूरत है
1620_034	अपनी बात रखते हुए उन्होंने तीन व्यक्ति भेजे
1621_064	वे एकएक करके आए
1622_046	और हर व्यक्ति एक उपहार लाया
1623_078	मैं अपने कमरे में चला गया
1625_027	चारों लोग बातें करते हुए काफ़ी शोर मचा रहे थे
1628_037	दादाजी ने कहा कि मैं उनके मित्रों की लाई चीज़ें ऊपर चढ़ा दूँ
1629_042	मधु संतरे लाया था
1630_060	श्याम बाबू दूधिया बिस्कुट लाए थे
1631_097	मैंने बाल्टी और घिर्री को बाँधकर सामान ऊपर चढ़वा दिया
1632_001	कुछ ही मिनटों में दादाजी ने सब कुछ खोल दिया
1633_072	पेड़ के नीचे खड़े समूह ने दादाजी के धन्यवाद भाषण पर तालियाँ बजाईं
1634_092	फिर वे तीनों चले गए
1635_034	अब सब कुछ ठीकठाक हो चुका था
1637_077	मैं पेड़ की छाँव में झपकी ले रहा था
1638_032	टाइगर मेरे पैरों के पास लेटा था
1639_065	दादाजी ऊपर पेड़ पर बैठे अखबार पढ़ रहे थे
1641_086	अचानक दादाजी चिल्लाए देखो दुश्मन आ रहा है मैं कूद कर उठ खड़ा हुआ
1642_064	दादाजी पेड़ से बाहर झाँक रहे थे
1643_002	उन्होंने अखबार को गोल करने दूरबीन की तरह अपनी आँख पर लगा लिया था
1644_042	मैंने देखा तो एक पुलिस की जीप हमारे घर की ओर आ रही थी
1645_024	जीप गेट पर रुकी तीन पुलिसकर्मी कूद कर उतरे और
1646_077	जीप का दरवाज़ा ज़ोर से बंद किया
1647_080	फिर वे घास पर चलते मेरी तरफ़ आये
1649_046	उसको उठने में एक मिनट लगा
1650_098	मैं उसकी मदद कर पाऊँ उससे पहले ही टाइगर उसके पास पहुँच गया और
1651_072	उसका पूरा चेहरा चाट लिया
1652_080	मैंने पुलिसवाले के उठने का इन्तज़ार किया
1653_026	अपने कपड़े झाड़ता वह बुदबुदाया किसी को सीढ़ी के बारे में कुछ करना चाहिए
1654_077	फिर वह मुझ पर झल्लाया कुत्ते का भी कुछ करना होगा
1657_078	उन्हें यह बात बिल्कुल पसन्द न आई कि उन से छुपकर कोई बात की जाए
1660_064	मैंने कहा कि दादाजी बीमार नहीं हैं
1661_016	लेकिन वह अड़ा रहा और बोला कि यह हमारा कर्त्तव्य है
1663_032	आधे घंटे बाद डॉक्टर की कार आई
1664_002	डॉक्टर वसंत नीचे उतरे
1665_046	वह दादाजी को नहीं जानते थे
1668_024	जिन्हें आप देखने आए हैं वे मेरे दादाजी हैं
1669_005	वे वहाँ हैं मैंने ऊपर की ओर इशारा किया
1670_034	डॉक्टर ऊपर की ओर देखकर चिल्लाए नमस्कार जी
1672_077	डॉक्टर ने एक क्षण सोचा फिर बोले क्या मैं ऊपर आ सकता हूँ
1674_080	मैंने सीढ़ी खड़े करने में डॉक्टर की मदद की
1675_070	वह उस पर चढ़ने लगे
1676_073	दादाजी इतना चिढ़ गए कि ऊपर से सीढ़ी को धकेलने लगे
1678_002	दे सकता हूँ और मैं यही करूँगा दादाजी बोले
1679_073	उन्होंने कहा कि डॉक्टर पेड़ों की परवाह नहीं करते
1680_042	अगर हमारे नीम के पेड़ जलाने वाली लकड़ियों में बदल जाएँ तो भी उन्हें कोई फ़र्क पड़ने वाला नहीं
1681_034	डॉक्टर बैठने की कोशिश करने लगे
1685_002	मैंने खड़े होने में डॉक्टर की मदद की
1686_097	मुझे भूख लग रही थी
1687_034	जब सब लोग दिन के खाने में मशगूल थे
1688_060	मैं और दादाजी बिस्कुट और सेब टूँग रहे थे
1689_060	दादाजी को दालभातदहीअचार की याद आ रही थी
1690_033	वह किताब पढ़ने लगे
1691_037	और थोड़ी देर बाद सो गए
1692_032	एक घण्टे बाद एक नीली कार पेड़ के पास आकर रुकी
1693_042	चार आदमी कार से उतरे और कुर्सियाँ और चित्रण बोर्ड उतारने लगे
1694_035	देखते ही देखते खुली हवा में चित्रकारी की कक्षा जैसी लग गई
1696_013	यह सचमुच ही सुन्दर पेड़ है
1697_092	हम इसके कटने से पहले इसकी तस्वीर बनाना चाहेंगे
1698_064	मेरी समझ में नहीं आ रहा था कि मैं क्या कहूँ
1699_056	इसलिए मैंने कुछ नहीं कहा
1700_089	किसी ने भी ध्यान नहीं दिया कि दादाजी पेड़ पर बैठे हैं
1701_070	मुझे लग रहा था कि कुछ होनेवाला है
1702_005	और ऐसा ही हुआ
1704_009	जो चित्रकारों के बीचोंबीच आकर गिरा
1707_080	उनमें से दो ने चाय की माँग की
1708_032	उन्होंने कहा कि उनके सदमे और घबराहट से उबर पाने का यही एक उपाय है
1709_024	मीठी और गर्मागर्म बनाना दादाजी चिल्लाए
1710_005	मैंने अदरक इलायची डालकर चाय बनाई और सबको चाय और बिस्कुट दिए
1711_091	उन्होंने मुझे बारबार धन्यवाद दिया
1713_032	वे कह रहे थे कि पेड़ों को बचाना उनका कर्त्तव्य है
1714_077	वे उनको बहुत प्यार करते हैं
1719_033	सब लोगों ने सिर हिलाए
1720_097	वे बड़ी उत्सुकता से दादाजी को देख रहे थे
1721_037	दादाजी की बात खत्म हुई तो अमृता ने कहा
1722_005	आप बहुत बहादुर हैं
1723_042	बाकी चित्रकार भी बोले सचमुच बहुत बहादुर
1724_091	अमृता बोलीं नगर निगम की योजना गलत है
1725_037	हमें उन्हें सबक सिखाना चाहिए
1727_092	शाबाश एक लड़की ललिता ने जोश से कहा
1728_073	बहुत बढ़िया बाकी सभी ने अमृता का हौसला बढ़ाया
1730_091	चित्रकारों के दल ने एक बैठक की
1731_087	जिसकी बागडोर अमृता ने सँभाली क्योंकि उनकी आवाज़ ऊँची थी
1732_098	उन्होंने कहा कि हमें पेड़ों के काटे जाने के विरूद्ध याचिका दायर करनी चाहिए
1733_013	सभी लोगों ने एक कागज़ पर हस्ताक्षर किए
1735_039	मैंने दादाजी की तरफ़ देखा
1736_077	वे मुस्कराते हुए नीचे देख रहे थे
1737_061	तीन बजे चित्रकारों ने अपना सामान सँभाला और
1738_027	गाना गाते हुए अपनी कार में चले गए
1739_019	मैं लौटकर सामान सँभालने लगा
1740_034	बगीचे में चाय के प्याले बिखरे हुए थे
1741_060	धन्यवाद सत्या चाय बनाने के लिए धन्यवाद दादाजी ने कहा
1742_024	मैंने कुछ नहीं कहा
1744_080	ज़रूर चित्रकारी की कक्षा ने चंदा किया होगा
1745_033	मुझे पैसों को गिनने का समय नहीं मिला
1746_065	दादाजी अचानक चिल्ला उठे दुश्मन फिर आ गए
1749_087	वे पहले आने वाले मज़दूर जैसे नहीं दफ्तर में मेज़कुर्सी पर काम करनेवाले लोग थे और
1750_033	वे सीधे पेड़ की ओर बढ़े
